VYSHAK INN MYSURU,"bus stand, 2929,19/1, bangalore nilagiri road, near suburb, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3150785,76.6589392,570001,188,3.4
OYO HOME 80085 SRI CHAITANYA RESIDENCY,"799, 747/6a-5, near lalitha mahal palace, t narsipura road, allanahalli layout, giridarshini layout, mysuru, karnataka 570028, india",Lodge,12.2989016,76.6978164,570028,187,3.6
SPOT ON 47957 CHAMUNDI VASATHI GRUHA,"chandraguptha road, near suburb bus stand, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3104415,76.6580451,570001,186,3.7
OYO 77637 DV HOMESTAY,"bank of baroda (e vijaya), 18th cross road, industrial suburb, vidyaranyapura, mysuru, karnataka 570014, india",Hotel,12.2806434,76.6465328,570014,185,1
RAJ RESIDENCYRES,"1021- n38, manasara road, tank bund road, mysuru, karnataka 570010, india",Hotel,12.3042405,76.6617177,570010,183,5
HOTEL SHASTRI PARADISE,"bus stand, shop no. 2911, bangalore nilagiri road, opp. ksrtc, doora, mysuru, karnataka 570001, india",Hotel,12.3117277,76.6589965,570001,160,3.2
GOOD TOUCH SERVICED APARTMENTS,"123, 10th cross road, near water tank, gokulam 3road stage, gokulam, mysuru, karnataka 570002, india",Serviced apartment,12.3347548,76.6277111,570002,182,4.2
HOTEL KAVERI PALACE,"fivelight circle,bangalore-ooty road, near bus stand, lashkar mohalla, mysuru, karnataka 570001, india",Bed & breakfast,12.3180662,76.6596536,570001,159,3.9
OYO HOME 78673 RAJ PRIDE,"narasimharaja mohalla, hudco 2nd stage, bannimantap, mysuru, karnataka 570015, india",Hotel,12.3364942,76.6528609,570015,181,NA
OYO 81858 AVIGNA STAY MYSORE,"mysore milk dairy, 6, near new, alanahalli, mysuru, karnataka 570011, india",Hotel,12.3043741,76.700877,570011,158,3.1
HOTEL PRAKAASH PALACE,"1474, sayyaji rao road, opp. mysore medical college, devaraja mohalla, mandi mohalla, mysuru, karnataka 570021, india",Hotel,12.3162651,76.6508869,570021,178,3.8
SUVARNA COMFORTS,"no. 980, a & f block, mysuru, karnataka 570023, india",Hotel,12.2877033,76.6265451,570023,156,3.1
MAUVE ORCHID MYSORE,"plot no. 41, a1, nazarbad main road, behind viva health club, doora, mysuru, karnataka 570010, india",Hotel,12.3083031,76.6664841,570010,155,4
MANNARS DELUXE LODGE,"plot no. 2903, behind ksrtc bus stand & sangam theatre, ganapathi temple road, lasker mohalla, halladakeri,mandi mohalla, mysuru, karnataka 570001, india",Lodge,12.3109359,76.6575565,570001,177,4
HOTEL SRI DURGA BHAVAN,"no. 233, sapthagiri shopping complex, 262, 2nd main road, gokulam 2nd stage, gokulam, mysuru, karnataka 570002, india",South Indian restaurant,12.3302854,76.6294619,570002,154,4
MANNARS YATRI NIVAS LODGING,"2747, near sangam theatre, chandragupta road, lasker mohalla, halladakeri, mandi mohalla, mysuru, karnataka 570001, india",Lodging,12.310396,76.6579264,570001,176,3.9
HOTEL GAroadEN CITY,"no. 2 and 3, opposite k.s.r.t.c bus depot, nelson mandela road, bannimantap, mysuru, karnataka 570015, india",Hotel,12.3318873,76.6492081,570015,153,3.6
HOTEL VYSHAK RESIDENCY,"sapna book house, opposite to, #5, sebaiah road, devaraja mohalla, shivarampet, mysuru, karnataka 570001, india",Hotel,12.3115913,76.6492626,570001,174,3.5
OYO 73867 NEW YESHAS RESIDENCY,"00, bogadi main road, bogadi road, near speech & hearing circle, mysuru, karnataka 570007, india",Hotel,12.3063328,76.6126668,570007,152,3.8
MANNARS RESIDENCY,"1459, opposite more mega store, near railway station, narayan shastry road, mysuru, karnataka 570001, india",Lodge,12.3117083,76.6482462,570001,173,4.1
HOTEL MAITRI,"no-1 , first floor, deshika road, near jagan mohan palace, devaraja mohalla, mysuru, karnataka 570001, india",Hotel,12.3061699,76.650875,570001,151,5
SHASHWATH RESIDENCY BUDGET HOTELS,"no. 1071, kt street, 4th west cross road, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3125871,76.6537814,570001,172,3.5
CAPITAL O 17246 ANURAG INN,"2247, sri geetha mandira road, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3163148,76.6581035,570001,150,4.1
HOTEL VYSHAK INTERNATIONAL,"19, seebaiah road, opposite to sapna book house, devaraja mohalla, shivarampet, mysuru, karnataka 570001, india",Hotel,12.3117421,76.6486277,570001,149,5
HOTEL ATHITHI LODGE BUILDING,"1, nelson mandela road, opposite ksrtc bus depot, bannimantap, mysuru, karnataka 570015, india",Hotel,12.3318443,76.6499006,570015,148,3.6
AJ PALACE,"kabir road, #237, ashoka road, lashkar mohalla, madnhi moalla, mysuru, karnataka 570001, india",Hotel,12.316011,76.656923,570001,170,3.5
AASHRAYA HOTEL,"dhanavantri road, adjacent to dhanvanthri complex, devaraja mohalla, yadavagiri, mysuru, karnataka 570001, india",Hotel,12.312047,76.6497085,570001,147,3.8
HOTEL SUHASHINI PALACE,"plot no-3516, m 31, 1st main, mandi mohalla, sayyaji rao road, opposite old r.m.c, tilak nagar, mysuru, karnataka 570021, india",Hotel,12.3207813,76.6473914,570021,146,4
HOTEL ADITYA,"1458, sapna book house, 1, ns road, devaraja mohalla, near, mysuru, karnataka 570004, india",Hotel,12.3117698,76.6482639,570004,168,3.8
COLLECTION O 50126 HOTEL SK ELEGANCE,"# 2722/1, sri harsha road, next to woodlands theatre, mysuru, karnataka 570001, india",Hotel,12.308621,76.658774,570001,144,3.4
KAVITHA GUEST HOUSE,"143/f, kuvempunagara north, kuvempu nagara, mysuru, karnataka 570022, india",Homestay,12.294364,76.6217896,570022,143,3
OYO 15607 GREENWOOD INN AND SUITES,"#1/1 mysore-bangalore road near govt. guesthouse, lashkar mohalla, mysuru, karnataka 570001, india",Hotel,12.3191422,76.6619529,570001,167,3.7
SANGEETHA LODGE,"narayanshastry road, devaraja mohalla, shivarampet, urs road, karnataka 570001, india",Lodge,12.3114059,76.6481694,570001,166,3.5
STAR RESIDENCY,"338/3, kali temple st, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3123737,76.6536777,570001,142,3.6
TREEBO TRIP GREENWOOD INN AND SUITES - HOTEL IN ERANGERE,"#1/1,mysore bangalore road(near govt.guest house, five light circle, opp. yaallah masjid, mysuru, karnataka 570001, india",Hotel,12.3194531,76.6630888,570001,141,3.4
SPOT ON 61473 MOONLIGHT RESIDENCY,"656, 4th main, 19th cross road, vidyaranyapura, mysuru, karnataka 570008, india",Hotel,12.2803053,76.64667,570008,165,3
HOTEL AIRLINES MYSURU,"law courts, 1064, no.16, hotel airlines, jayalakshmi vilas road, near mysuru, chamarajapuram, mysuru, karnataka 570005, india",Hotel,12.3007295,76.6401879,570005,163,4
ENNAR PLAZA,"sterling theater road, sterling theater road, near sterling theater, vishweshwara nagar, mysuru, karnataka 570008, india",Hotel,12.280783,76.64665,570008,162,2.6
HOTEL Q! STAR,"no 1, nelson mandela road, bannimantap a layout, bannimantap, mysuru, karnataka 570007, india",Hotel,12.3316535,76.6488068,570007,161,4.1
YASHASWI COMFORTS,"#69/1 ""yashaswi comforts"" mg road, near jss hospital, mysuru, karnataka 570004, india",Hotel,12.297239,76.657581,570004,140,3.7
OYO 80001 VP INN,"hopcoms hopcoms, gokulam 1st stage, gokulam, mysuru, karnataka 570001, india",Hotel,12.3302,76.630441,570001,139,3.3
MAHALAKSHMI COMFORTS,"111, kshetraiah road, k. r.mohalla, thogari beedi, near banumiah circle, mysuru, karnataka 570024, india",Hotel,12.3046821,76.6507564,570024,138,3.4
RACCOON ROOMS,"plot no. 7, contour road, 3road stage, gokulam 2nd stage, gokulam, mysuru, karnataka 570002, india",Bed & breakfast,12.3333315,76.6238131,570002,137,4.1
BLUE MOON RESIDENCY,"2285, 2285, ashoka road, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.320274,76.657409,570001,135,3.5
NKF RESIDENCY DELUXE LODGE,"shop no. # 3344, near st. philomena's church, sawday road, good shepheroad convent road, earangere, louroadu nagar, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3204046,76.6600052,570001,134,3.2
THE DAWN HOTEL,"mysore bangalore road, jayalakshmipuram, bannimantap a layout, bannimantap, mysuru, karnataka 570015, india",Hotel,12.3421809,76.654215,570015,132,3.7
HOTEL MB INTERNATIONAL,"bangalore nilgiri road, earangere, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3182654,76.6595833,570001,131,3.3
THE GRAND VANAM,"15/b, lokaranjan mahal road, indira nagar, ittige gudu, mysuru, karnataka 570010, india",Hotel,12.3048788,76.6651498,570010,128,3.7
ROAMBAY,"582, dewan's road, near double tank, lakshmipuram, mysuru, karnataka 570004, india",Hostel,12.2996258,76.6448297,570004,127,4.8
SUVARNA RESIDENCY,"#1015, udayaravi road, kuvempu nagara, mysuru, karnataka 570023, india",Hotel,12.2868231,76.6260531,570023,126,3.5
GALAXY GRAND,"unnamed road, menna bazzar, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3206293,76.6573583,570001,124,2.8
"HOTEL CASA MERIDIAN, MYSORE","1/3 kb arcade, hunsur road, mysuru, karnataka 570012, india",Hotel,12.3161428,76.6277881,570012,123,3.7
HOTEL ROYAL PALACE,"# 6/107, new no. 6/107/a, sayyaji rao road, beside madhus tyres, bamboo bazaar, tilak nagar, mysuru, karnataka 570021, india",Hotel,12.324202,76.645123,570021,122,3.5
THE INN,"# 15, contour road, gokulam 3road stage, gokulam, mysuru, karnataka 570002, india",Serviced apartment,12.3341737,76.6237856,570002,121,4.6
CORNER BUNKER,"#23, 3 cross, vivekanada, road, yadavagiri, mysuru, karnataka 570020, india",Hostel,12.3252362,76.6399336,570020,100,4.8
HOTEL MAURYA,"devaraja mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3111694,76.6532004,NA,120,3.8
HOTEL BOMBAY TIFFANYS,"313, 2nd cross road, devaraja mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3122717,76.6530891,570001,99,3.6
OYO FLAGSHIP 75525 WHITE PARROT,"30a, no : d, highway circle, 1a, sayyaji rao road, mysuru, karnataka 570015, india",Hotel,12.3292245,76.644827,570015,119,3.5
