Name,Adress,Type,latitude,longitude,pin code,rating
PANCHAVATI CIRCLE,"Kalidasa Rd, Jayalakshmipuram, Mysuru, Karnataka, India",HISTORICAL LANDMARK,12.3244489,76.6246317,NA,4
CHAMUNDESHWARI TEMPLE ASHOKA RD,"Ashoka Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",HINDU TEMPLE,12.3171971,76.6576085,570001,5
WELLINGTON LODGE – ,"Irwin Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",MUSEUM,12.3144097,76.6574209,570001,4
"MAHRAJA'S COLLEGE, UNIVERSITY OF mysuru","University of mysuru, Jhansi Rani Lakshmi Bai Rd, Medar Block, Yadavagiri, Mysuru, Karnataka 570005, India",COLLEGE,12.316491,76.649218,570005,4
MYSURU PALACE GARDEN," Agrahara, Chamrajpura, Mysuru, Karnataka 570004, India",GARDEN,12.3051623,76.6561706,570004,5
SRI SUBHRAMANYA SWAMY TEMPLE,"GS Ramakrishnaiah Main Rd, Vidyaranyapura, Mysuru, Karnataka 570008, India",HINDU TEMPLE,12.2821339,76.6438283,570008,5
IDEAL JAWA FACTORY LOCATION,"Medar Block, Yadavagiri, Mysuru, Karnataka 570020, India",HISTORICAL LANDMARK,12.3351111,76.6404426,570020,4
CHAMUNDI BETTA,"Chamundi Hill, Mysuru, Karnataka 570010, India",TOURIST ATTRACTION,12.2752546,76.6701475,570010,5
UDUPI KRISHNAMANDIR mysuru,"1370, NS Road, Devaraja Mohalla, Shivarampet, Mysuru, Karnataka 570001, India",HINDU TEMPLE,12.3106954,76.6479697,570001,5
MYSURU TOWN HALL,"Ashoka Rd, opp. Dodda Gadiyara, Devaraja Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",CITY HALL,12.3096675,76.6549155,570001,4
KILLE VENKATARAMANA TEMPLE,"Sayyaji Rao Rd, Agrahara, Chamrajpura, Mysuru, Karnataka 570004, India",HINDU TEMPLE,12.3042865,76.6534405,570004,4
