SRI VEDAVYASA YOGA FOUNDATION MYSORE,"# 371/1, ""Mahamaya"", Balakrishna Rao Road, near Ballal Circle, Chamarajapura, Mysuru, Karnataka 570005, India",Yoga studio,12.2960337,76.6416736,+91 821 233 4707,570005,5
MYSORE YOGA CLUB,"348/1, 2nd Main, 15th Cross, Gokulam 3rd Stage Vani Vilas Mohalla, Gokulam, Mysuru, Karnataka 570002, India",Lodge,12.3272874,76.6302175,NA,570002,5
ATHARVA YOGA SHALA MYSORE,"LIG 53 & 54, near SUYOGA HOSPITAL, E & F Block, Ramakrishnanagar, Mysuru, Karnataka 570022, India",Yoga studio,12.2839745,76.6210337,+91 88842 44994,570022,5
ART OF LIVING,"2343, Sampige Road, P and T Block, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Yoga studio,12.2950337,76.6298227,+91 98459 63387,570023,4.3
CHIRANJEEVI YOGA KENDRA,"Avdani Circle Road, Avdani Circle Road, Vidyaranyapuram, near Vanividya Mandir, Mysuru, Karnataka 570008, India",Yoga studio,12.2849808,76.6486505,+91 99809 54204,570008,3
SRI VIVEKANANDA YOGA CENTRE,"no. 319, Vidyashankar Layout, Shakthinagar, Mysuru, Karnataka 570029, India",Yoga studio,12.3174238,76.6978963,+91 99809 16402,570029,3.8
JAYS MYLIFEYOGA,"JAYS mylifeYoga, 41/1, 1st Main Rd, Yadavagiri, Mysuru, Karnataka 570020, India",Yoga studio,12.3261279,76.6397582,NA,570020,4.8
YOGA AARADHANA,"#32 D/3, 5th Main, Yadavagiri,, Next to Vijaya Bank,, behind Brahma Kumari, Mysuru, Karnataka 570020, India",Yoga studio,12.3222849,76.6386298,NA,570020,5
GURU SAI YOGA FOUNDATION,"7th Cross Rd, 2nd Stage, R.S.Naidu Nagar, Hale Kesare, Karnataka 570007, India",Yoga studio,12.3435019,76.6686276,+91 93430 34918,570007,4.8
YOGA IN MYSORE,"#1483 C and D block, Paduvna road, kuvempunagar, Mysuru, Karnataka 560023, India",Yoga studio,12.290935,76.621989,+91 821 234 4361,560023,NA
MYSORE YOGA CLUB 5,"115, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002, India",Lodging,12.3301546,76.6272073,NA,570002,4
CHAITANYA YOGA KENDRA MYSORE,"Alwar Kala Bhavan, Sri Krishna Temple,Chinmaya Mission Road, Gokulam 3rd Stage, Mysuru, Karnataka 570002, India",Yoga studio,12.3361862,76.6285617,NA,570002,5
SRI PATANJALA ASHTANGA VINYASA YOGA FOUNDATION,"No 73, Elder Citizens Council Saraswathi Samudhaya Bhavana Hospital Road, Jayalakshmipuram, Mysuru, Karnataka 570012, India",Yoga studio,12.3210224,76.6247701,+91 90082 52955,570012,5
YOGA CENTRE UNIVERSITY OF MYSORE,"University of Mysore, near yuvraja college sports pavilion, K.G Koppal, Kajjihundi, Mysuru, Karnataka 570005, India",Yoga studio,12.3053964,76.6374404,NA,570005,4.9
LIFECARE YOGA FOUNDATION,"#200, 4th Cross Rd, Agrahara, Fort Mohalla, Mysuru, Karnataka 570004, India",Gym,12.2981416,76.6553931,+91 90359 96288,570004,4
YOGA TRADITION MYSORE,",4TH CROSS,, 81, 2nd Main Rd, Yadavagiri, India",School,12.2844729,76.6515555,+91 78150 72323,NA,
SHRI UPANISHATH YOGA CENTER,"#804, E & F Block,, 1st cross, Manujapatha Main Road, Kuvempunagar, Mysuru, Karnataka 570023, India",Yoga studio,12.289302,76.626357,+91 70260 00633,570023,4.9
MYSURU YOGALAYA,"85, 1st floor KCK Arcade, N Block, Aravinda Nagar, Mysuru, Karnataka 570023, India",Yoga studio,12.2793814,76.6298827,NA,570023,4.9
SHASHIKALA ASTANGA YOGA,"366, Chaluvambra Agrahara K.R. Mohalla, India",Yoga studio,12.3040393,76.6491162,+91 94839 01359,NA,NA
GSS YOGA,"1104, Udayaravi Rd, Block K, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Yoga studio,12.2865855,76.6280319,+91 95380 76642,570023,5
MYSORE YOGA CLUB 1,"348/1, 2nd Main, 15th Cross, Gokulam 3rd Stage, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Indoor lodging,12.3322236,76.6246943,NA,570002,3.5
THE THREE SISTERS YOGA SHALA,"364-366 chaluvamba, Agrahara, Krishnaraja Mohalla, Mysuru, Karnataka, India",Yoga studio,12.3040798,76.6491175,+91 94839 01359,NA,4.2
AYC-YOGA SOLUTIONS,"900, Chitrabhanu Road, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Yoga retreat center,12.290077,76.6248981,+91 80732 68103,570023,5
YOGA MYSURU,"#1206/A, CH 31/A, Ground Floor, New Kantharaj Urs Rd, opp. Ashoka Circle, K.G Koppal, Sriramamandira, Mysuru, Karnataka 570005, India",Yoga studio,12.2956932,76.640311,+91 93421 82135,570005,4.4
YOGADARSHANAM FOUNDATION,"1st Floor Sumana Complex, above SBI Bank, 1st Main Road, 9th Cross Rd, 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3322706,76.6285288,NA,570002,4.9
PATANJALA ASHTANGA VINYASA YOGA SHALA,"3rd Cross Rd, Krishnamurthy Puram, Mysuru, Karnataka 570004, India",Yoga studio,12.2939771,76.6416206,+91 96866 16390,570004,4.1
MYSORE YOGA SHALA,"#581, Dewans Road, near Double Tank, Chamaraja Mohalla, Lakshmipuram, Mysuru, Karnataka 570021, India",Yoga retreat center,12.298807,76.64458,+91 98863 27655,570021,1
IIYN |,"2908, 1, 3rd Main Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Yoga studio,12.326553,76.6297419,NA,570002,5
YOGA WITH SRINATHA,"#14, Contour Rd, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3340424,76.6237797,+91 98865 12083,570002,5
