Abiruchi Pure Veg Restaurant,"1252, 3, Vinoba Rd, Devaraja Mohalla, Shivarampet, Mysuru, Karnataka 570004, India",Vegetarian restaurant,12.3102692,76.6477083,NA,570004,208,3.7
RE-PUB-LIQ RESTO,"Jhansi Rani Lakshmi Bai Rd, behind Hoysala Auto Gas, Gundurao Nagar, YELETHOTA, Mysuru, Karnataka 570025, India",Restaurant,12.285454,76.654893,+91 84949 49762,570025,174,3.9
Blue Inn,"174, Nelson Mandela Rd, Bannimantap, Mysuru, Karnataka 570015, India",Mughlai restaurant,12.3318741,76.6495204,+91 821 249 4365,570015,232,3.8
Vinayaka Darshini,"Bazar Street, Bazaar Street, Hanumanthanagar, near Bhuvaneswari Choultry, Mysuru, Karnataka 570015, India",South Indian restaurant,12.338742,76.651129,+91 99454 15121,570015,207,4
Sepoy Grande Hotel Mysore,"62B, MG Road, Opp JSS Hospital, Agrahara, Fort Mohalla, Mysuru, Karnataka 570004, India",Restaurant,12.2972969,76.6563116,+91 821 427 0001,570004,231,4
Mehfil Restaurant & Cafe,"No 665, Bannimantap B'Layout SS Nagar, near JSS Dental college, Mysuru, Karnataka 570015, India",Restaurant,12.3453633,76.6530883,NA,570015,206,4.3
Blu Peacock,"Oppsit to JSS hospital, #65, MG Road, Agrahara, KR Mohalla, Fort Mohalla, Mysuru, Karnataka 570004, India",Restaurant,12.2973313,76.6558707,NA,570004,230,4.9
Nalpak,"No. 10/A, Vishwamanava Double Road, Kuvempunagara North, Saraswathipuram, Mysuru, Karnataka 570023, India",South Indian restaurant,12.2990465,76.6263537,+91 821 424 6622,570023,205,3.7
Jayalakshmi Hotel,"13, T.A.P.C.M.S. Complex, Near Lorry Stand, Bannimantap, Mysuru, Karnataka 570015, India",South Indian restaurant,12.3358549,76.6460567,+91 98452 71270,570015,228,3.5
Spring All Day Dining,"1, Ramanuja Rd, Agrahara, Fort Mohalla, Mysuru, Karnataka 570004, India",Restaurant,12.301056,76.654132,NA,570004,227,NA
Megha Tiffans,"967/2, Janatha Nagar, Maruthi Temple Road, Janatha Nagar, Thonachi Koppal, near Maruthi Temple, Mysuru, Karnataka 570009, India",South Indian restaurant,12.30295,76.6143,+91 96119 64862,570009,226,5
